Ammonia,Benzene,CNG,CO,Hydrogen,LPG,Smoke
13.46803,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,27.01032,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
21.45257,16.46988,39.18819,26.62533,6.19006,12.95488,8.24402
16.52354,11.62846,36.75732,22.75668,7.23989,14.68464,9.34477
16.41647,11.52809,36.68256,22.702,7.20372,14.62592,9.30741
16.41647,11.52809,36.75732,22.67468,7.18564,14.59655,9.28871
16.41647,11.52809,36.75732,22.64738,7.18564,14.59655,9.28871
16.39505,11.50804,36.75732,22.6201,7.18564,14.59655,9.28871
16.37362,11.50804,36.68256,22.59283,7.18564,14.59655,9.28871
16.3522,11.46796,36.68256,22.56557,7.18564,14.59655,9.28871
16.33077,11.44793,36.68256,22.53833,7.18564,14.59655,9.28871
16.30935,11.42791,36.68256,22.5111,7.18564,14.59655,9.28871
16.28792,11.40789,36.60801,22.48389,7.16757,14.56717,9.27002
16.26648,11.38788,36.60801,22.45669,7.16757,14.56717,9.27002
16.24505,11.36787,36.60801,22.4295,7.16757,14.56717,9.27002
16.22361,11.34787,36.60801,22.40233,7.16757,14.56717,9.27002
16.20217,11.32788,36.53367,22.37517,7.14949,14.53777,9.25131
16.18072,11.30789,36.53367,22.34802,7.14949,14.53777,9.25131
16.15927,11.28791,36.53367,22.32088,7.14949,14.53777,9.25131
16.13782,11.26793,36.45954,22.29376,7.14949,14.53777,9.25131
16.11636,11.24796,36.45954,22.26665,7.14949,14.53777,9.25131
16.0949,11.22799,36.45954,22.23955,7.13142,14.50837,9.2326
16.07343,11.20803,36.45954,22.23955,7.13142,14.50837,9.2326
16.07343,11.20803,36.45954,22.21247,7.13142,14.50837,9.2326
16.05196,11.18807,36.38562,22.18539,7.13142,14.50837,9.2326
16.03048,11.16812,36.38562,22.15833,7.11335,14.47895,9.21387
16.009,11.14817,36.38562,22.13128,7.11335,14.47895,9.21387
15.98751,11.12822,36.3119,22.13128,7.11335,14.47895,9.21387
15.96602,11.10828,36.3119,22.10424,7.11335,14.47895,9.21387
15.98751,11.12822,36.2384,22.10424,7.13142,14.53777,9.25131
15.94452,11.08834,36.3119,22.05019,7.09528,14.44952,9.19515
